variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
CO;TODAS;2020;2020;728.4690790880064;478.42984927669187;125720;95%;725.8244281803142;731.1137299956987
CO;TODAS;2020;2020;728.4690790880064;478.42984927669187;125720;90%;726.2496230950911;730.6885350809217
CO;TODAS;2020;2020;728.4690790880064;478.42984927669187;125720;99%;724.9933993301137;731.9447588458992
CO;TODAS;2020;2021;739.5925271864498;560.9099838986209;282854;95%;737.525424947629;741.6596294252707
CO;TODAS;2020;2021;739.5925271864498;560.9099838986209;282854;90%;737.857762043825;741.3272923290747
CO;TODAS;2020;2021;739.5925271864498;560.9099838986209;282854;99%;736.8758876418606;742.3091667310391
CO;TODAS;2020;2022;736.8128561293206;564.5204569272394;419384;95%;735.1043241975128;738.5213880611284
CO;TODAS;2020;2022;736.8128561293206;564.5204569272394;419384;90%;735.3790119036012;738.24670035504
CO;TODAS;2020;2022;736.8128561293206;564.5204569272394;419384;99%;734.567460816382;739.0582514422592
CO;TODAS;2020;2023;710.8346838134419;538.3345168390131;561003;95%;709.4259833324145;712.2433842944693
CO;TODAS;2020;2023;710.8346838134419;538.3345168390131;561003;90%;709.6524657008317;712.016901926052
CO;TODAS;2020;2023;710.8346838134419;538.3345168390131;561003;99%;708.9833352557176;712.6860323711661
CO;TODAS;2021;2021;748.492191771685;618.894657970521;157134;95%;745.4321096090292;751.5522739343409
CO;TODAS;2021;2021;748.492191771685;618.894657970521;157134;90%;745.9240945071064;751.0602890362637
CO;TODAS;2021;2021;748.492191771685;618.894657970521;157134;99%;744.470544231158;752.5138393122121
CO;TODAS;2021;2022;740.3848964530716;597.5623637869248;293664;95%;738.2236327365871;742.5461601695562
CO;TODAS;2021;2022;740.3848964530716;597.5623637869248;293664;90%;738.5711085196405;742.1986843865028
CO;TODAS;2021;2022;740.3848964530716;597.5623637869248;293664;99%;737.5445077027748;743.2252852033685
CO;TODAS;2021;2023;705.7414544111491;554.329141764419;435283;95%;704.0946912002744;707.3882176220238
CO;TODAS;2021;2023;705.7414544111491;554.329141764419;435283;90%;704.3594480608546;707.1234607614437
CO;TODAS;2021;2023;705.7414544111491;554.329141764419;435283;99%;703.5772372247586;707.9056715975396
CO;TODAS;2022;2022;731.0541138954286;571.8869626283707;136530;95%;728.0205853077028;734.0876424831544
CO;TODAS;2022;2022;731.0541138954286;571.8869626283707;136530;90%;728.5083017474842;733.599926043373
CO;TODAS;2022;2022;731.0541138954286;571.8869626283707;136530;99%;727.0673611488663;735.0408666419909
CO;TODAS;2022;2023;681.5903901815075;512.7115417679573;278149;95%;679.6849982428804;683.4957821201345
CO;TODAS;2022;2023;681.5903901815075;512.7115417679573;278149;90%;679.9913364917787;683.1894438712362
CO;TODAS;2022;2023;681.5903901815075;512.7115417679573;278149;99%;679.086274416265;684.0945059467499
CO;TODAS;2023;2023;633.9041178687415;443.13316265853166;141619;95%;631.59617372701;636.2120620104731
CO;TODAS;2023;2023;633.9041178687415;443.13316265853166;141619;90%;631.9672339719683;635.8410017655148
CO;TODAS;2023;2023;633.9041178687415;443.13316265853166;141619;99%;630.8709501603869;636.9372855770962
CO;BARRIOS UNIDOS;2020;2020;693.9944064808382;514.3694545507257;30513;95%;688.2227824223382;699.7660305393381
CO;BARRIOS UNIDOS;2020;2020;693.9944064808382;514.3694545507257;30513;90%;689.1507519639159;698.8380609977604
CO;BARRIOS UNIDOS;2020;2020;693.9944064808382;514.3694545507257;30513;99%;686.4090330840138;701.5797798776625
CO;BARRIOS UNIDOS;2020;2021;667.8915034870311;496.66605551204293;41618;95%;663.1196774962519;672.6633294778102
CO;BARRIOS UNIDOS;2020;2021;667.8915034870311;496.66605551204293;41618;90%;663.886888202957;671.8961187711051
CO;BARRIOS UNIDOS;2020;2021;667.8915034870311;496.66605551204293;41618;99%;661.6201558596549;674.1628511144072
CO;BARRIOS UNIDOS;2020;2022;666.7299543513525;492.5976549080579;50134;95%;662.4178949194481;671.0420137832568
