Estacion;Localidad
BOGOTA RURAL - MOCHUELO;FONTIBON
BOLIVIA;ENGATIVA
BOSA;BOSA
CARVAJAL - SEVILLANA;KENNEDY
CDAR;BARRIOS UNIDOS
CIUDAD BOLIVAR;CIUDAD BOLIVAR
COLINA;SUBA
FONTIBON;FONTIBON
GUAYMARAL;SUBA
EL JAZMIN;PUENTE ARANDA
JAZMIN;PUENTE ARANDA
KENNEDY;KENNEDY
LAS FERIAS;ENGATIVA
MINAMBIENTE;SANTA FE
MOCHUELO - COLEGIO;CIUDAD BOLIVAR
MOVIL 7MA;CHAPINERO
MOVIL FONTIBON;FONTIBON
P_CAMI - FONTIBON;FONTIBON
PUENTE ARANDA;PUENTE ARANDA
SAN CRISTOBAL;SAN CRISTOBAL
SUBA;SUBA
TUNAL;TUNJUELITO
USAQUEN;USAQUEN
USME;USME
