variable;localidad;year_start;year_end;mean;std;n;ci_90_lower;ci_90_upper;ci_95_lower;ci_95_upper;ci_99_lower;ci_99_upper
CO;Todas;2020;2020;764,3267273766531;531,5180490744999;115467;761,7538456844112;766,8996090688951;761,2609422070808;767,3925125462255;760,2975783191864;768,3558764341199
CO;Todas;2020;2021;770,0941141367109;602,2320822778133;262832;768,1619075631809;772,026320710241;767,7917455097743;772,3964827636476;767,0682808145334;773,1199474588884
CO;Todas;2020;2022;771,5604519913971;605,1871558513817;400327;769,9871556852707;773,1337482975235;769,6857524838478;773,4351514989465;769,0966749072601;774,0242290755342
CO;Todas;2020;2023;735,1548278606824;571,063411465776;542215;733,8791924386501;736,4304632827148;733,634813706793;736,6748420145718;733,1571880708135;737,1524676505513
CO;Todas;2021;2021;774,6131169326501;652,2711744829577;147365;771,818250877009;777,4079829882912;771,2828222018017;777,9434116634985;770,2363470135086;778,9898868517915
CO;Todas;2021;2022;774,4926168446256;632,58717521487;284860;772,5430716066958;776,4421620825553;772,1695880965281;776,8156455927231;771,4396320758734;777,5456016133777
CO;Todas;2021;2023;727,2616643979115;581,0500152320401;426748;725,7986251753692;728,7247036204539;725,5183444785258;729,0049843172973;724,9705499091602;729,5527788866628
CO;Todas;2022;2022;774,3634667266447;610,7886194138517;137495;771,6540384018915;777,0728950513978;771,1349770809411;777,5919563723482;770,1204905594683;778,606442893821
CO;Todas;2022;2023;702,2853888092692;538,0354519488814;279383;700,6110644275842;703,9597131909542;700,290306226605;704,2804713919334;699,6633992901963;704,9073783283421
CO;Todas;2023;2023;632,4389231233084;445,62131940350775;141888;630,49301102171;634,3848352249069;630,1202211992454;634,7576250473714;629,3916172511925;635,4862289954243
CO;BARRIOS UNIDOS;2020;2020;696,320354149412;516,519565082637;30185;691,4300961446958;701,2106121541282;690,4931975038577;702,1475107949663;688,6619949865809;703,978713312243
CO;BARRIOS UNIDOS;2020;2021;669,533091400848;498,32408329325347;41275;665,4984462891853;673,5677365125107;664,7254821466538;674,3407006550422;663,2147149234409;675,8514678782551
CO;BARRIOS UNIDOS;2020;2022;668,7351230900531;494,40743254695826;49915;665,0950947035435;672,3751514765627;664,3977370673579;673,0725091127483;663,0347518451063;674,4354943349999
CO;BARRIOS UNIDOS;2020;2023;655,5934336629059;487,63281035642575;58500;652,2771694776465;658,9096978481654;651,6418419753576;659,5450253504542;650,4000998770343;660,7867674487775
CO;BARRIOS UNIDOS;2021;2021;596,6229447763751;436,8258556920535;11090;589,7994619481492;603,446427604601;588,4920552568839;604,7538342958663;585,9364715354417;607,3094180173085
CO;BARRIOS UNIDOS;2021;2022;626,5323760283833;455,3087058039342;19730;621,200377000411;631,8643750563556;620,1788158560503;632,8859362007163;618,1820869632977;634,8826650934689
