variable,localidad,year_start,year_end,mean,std,n
CO,ALL,2020,2020,764.3267273766533,531.5180490744999,154198
CO,ALL,2020,2021,770.0941141367108,602.2320822778133,333080
CO,ALL,2020,2022,771.5604519913973,605.1871558513818,497638
CO,ALL,2020,2023,735.1548278606825,571.063411465776,663781
CO,ALL,2021,2021,774.6131169326503,652.2711744829577,178882
CO,ALL,2021,2022,774.4926168446254,632.5871752148698,343440
CO,ALL,2021,2023,727.2616643979112,581.0500152320401,509583
CO,ALL,2022,2022,774.3634667266448,610.7886194138517,164558
CO,ALL,2022,2023,702.2853888092692,538.0354519488812,330701
CO,ALL,2023,2023,632.4389231233084,445.6213194035078,166143
CO,BARRIOS UNIDOS,2020,2020,696.320354149412,516.519565082637,30580
CO,BARRIOS UNIDOS,2020,2021,669.533091400848,498.3240832932535,41762
CO,BARRIOS UNIDOS,2020,2022,668.7351230900531,494.40743254695826,50508
CO,BARRIOS UNIDOS,2020,2023,655.593433662906,487.6328103564258,59228
CO,BARRIOS UNIDOS,2021,2021,596.6229447763751,436.8258556920535,11182
CO,BARRIOS UNIDOS,2021,2022,626.5323760283832,455.3087058039341,19928
CO,BARRIOS UNIDOS,2021,2023,612.1767960190712,450.79745284196156,28648
CO,BARRIOS UNIDOS,2022,2022,664.9230696145834,475.2610924308589,8746
CO,BARRIOS UNIDOS,2022,2023,622.1908575738753,459.3019921670973,17466
CO,BARRIOS UNIDOS,2023,2023,579.1848806336634,438.50297903158315,8720
CO,BOSA,2020,2020,419.3469304152637,336.4481009957126,1784
CO,BOSA,2020,2021,512.1311047535211,375.4877357940808,6837
CO,BOSA,2020,2022,512.1311047535211,375.4877357940808,6837
CO,BOSA,2020,2023,512.1311047535211,375.4877357940808,6837
CO,BOSA,2021,2021,544.9760389352404,383.04981704018013,5053
CO,BOSA,2021,2022,544.9760389352404,383.04981704018013,5053
CO,BOSA,2021,2023,544.9760389352404,383.04981704018013,5053
CO,BOSA,2022,2022,,,0
CO,BOSA,2022,2023,,,0
CO,BOSA,2023,2023,,,0
CO,CHAPINERO,2020,2020,1220.0201504649197,726.7969939086692,8701
CO,CHAPINERO,2020,2021,1328.9222900052828,721.8909185563843,18273
CO,CHAPINERO,2020,2022,1503.8663643655289,678.053601037286,23955
CO,CHAPINERO,2020,2023,1503.8663643655289,678.053601037286,27702
CO,CHAPINERO,2021,2021,1717.6707241520821,549.982942773533,9572
CO,CHAPINERO,2021,2022,1738.6517587470285,530.4687554695303,15254
CO,CHAPINERO,2021,2023,1738.6517587470287,530.4687554695304,19001
CO,CHAPINERO,2022,2022,1744.9796754423007,524.3273374644331,5682
CO,CHAPINERO,2022,2023,1744.9796754423007,524.3273374644331,9429
CO,CHAPINERO,2023,2023,,,3747
CO,CIUDAD BOLIVAR,2020,2020,752.9334053156147,499.8351880291236,1827
CO,CIUDAD BOLIVAR,2020,2021,705.8637144344807,553.408938597367,10462
CO,CIUDAD BOLIVAR,2020,2022,730.8312087938422,587.1007343162586,19108
CO,CIUDAD BOLIVAR,2020,2023,700.864184557627,581.3263921246294,31389
CO,CIUDAD BOLIVAR,2021,2021,695.9386867950964,563.5815885508405,8635
CO,CIUDAD BOLIVAR,2021,2022,728.4964970363221,595.537473025693,17281
CO,CIUDAD BOLIVAR,2021,2023,697.1912941663086,586.4814132022475,29562
CO,CIUDAD BOLIVAR,2022,2022,761.1802341104079,624.3058746670887,8646
CO,CIUDAD BOLIVAR,2022,2023,697.8209797006691,597.6770928919137,20927
CO,CIUDAD BOLIVAR,2023,2023,634.2680572196097,562.6312532106059,12281
CO,ENGATIVÁ,2020,2020,667.3850813795776,381.9894186003604,10461
CO,ENGATIVÁ,2020,2021,682.9066799966519,422.5041965214757,32149
CO,ENGATIVÁ,2020,2022,698.6378548363999,451.31170423671745,49350
CO,ENGATIVÁ,2020,2023,687.6516426650171,453.55031072278865,65197
CO,ENGATIVÁ,2021,2021,691.1034435761793,442.1946880981751,21688
CO,ENGATIVÁ,2021,2022,707.6573461863221,469.0360444181239,38889
CO,ENGATIVÁ,2021,2023,691.7445276719296,466.56877033111266,54736
CO,ENGATIVÁ,2022,2022,727.6057173588163,498.75297636171786,17201
CO,ENGATIVÁ,2022,2023,692.1415062791067,481.0496370467742,33048
CO,ENGATIVÁ,2023,2023,654.6550609410232,458.6437234375073,15847
CO,FONTIBÓN,2020,2020,,,0
CO,FONTIBÓN,2020,2021,,,5807
CO,FONTIBÓN,2020,2022,879.9862625684502,509.9594028443478,31954
CO,FONTIBÓN,2020,2023,741.132786519538,459.95156338191936,58479
CO,FONTIBÓN,2021,2021,,,5807
CO,FONTIBÓN,2021,2022,879.9862625684502,509.9594028443478,31954
CO,FONTIBÓN,2021,2023,741.132786519538,459.95156338191936,58479
CO,FONTIBÓN,2022,2022,879.9862625684503,509.9594028443477,26147
CO,FONTIBÓN,2022,2023,741.1327865195378,459.95156338191936,52672
CO,FONTIBÓN,2023,2023,683.3708323005319,424.3051174761278,26525
CO,KENNEDY,2020,2020,1000.7274074074073,603.4302797540952,17525
CO,KENNEDY,2020,2021,1277.1338892259791,850.6538317914383,38344
CO,KENNEDY,2020,2022,1279.4173142606778,921.9791130735341,50135
CO,KENNEDY,2020,2023,1235.7292110924204,880.079892838509,62316
CO,KENNEDY,2021,2021,1527.0057129019156,957.6608442929423,20819
CO,KENNEDY,2021,2022,1451.9097143310787,1035.8551315092006,32610
CO,KENNEDY,2021,2023,1347.415250818064,964.82459230777,44791
CO,KENNEDY,2022,2022,1288.857158263616,1171.6521458946984,11791
CO,KENNEDY,2022,2023,1148.342567153809,933.1791782419031,23972
CO,KENNEDY,2023,2023,1001.7847133312616,552.5558089331868,12181
CO,PUENTE ARANDA,2020,2020,812.6642279942279,653.7685336024624,10953
CO,PUENTE ARANDA,2020,2021,876.2311221685264,726.104118310908,28316
CO,PUENTE ARANDA,2020,2022,835.8292821994654,666.1200924594157,45568
CO,PUENTE ARANDA,2020,2023,790.1016274879902,626.0823639461171,62937
CO,PUENTE ARANDA,2021,2021,909.9555288357577,759.5583413139326,17363
CO,PUENTE ARANDA,2021,2022,841.9662572431336,669.2292669106996,34615
CO,PUENTE ARANDA,2021,2023,786.1276984956012,620.9999343097818,51984
CO,PUENTE ARANDA,2022,2022,774.1526994801761,556.7376519045788,17252
CO,PUENTE ARANDA,2022,2023,724.5888654303609,528.3775964591606,34621
CO,PUENTE ARANDA,2023,2023,675.3690640597293,493.73724530731516,17369
CO,SAN CRISTOBAL,2020,2020,,,8713
CO,SAN CRISTOBAL,2020,2021,567.8746181076739,341.5816717529463,17319
CO,SAN CRISTOBAL,2020,2022,604.3170446089182,367.76019640437596,26058
CO,SAN CRISTOBAL,2020,2023,574.844912052582,353.8667424872309,34793
CO,SAN CRISTOBAL,2021,2021,567.8746181076738,341.5816717529463,8606
CO,SAN CRISTOBAL,2021,2022,604.3170446089181,367.760196404376,17345
CO,SAN CRISTOBAL,2021,2023,574.844912052582,353.86674248723085,26080
CO,SAN CRISTOBAL,2022,2022,625.1640222144335,380.38202511378205,8739
CO,SAN CRISTOBAL,2022,2023,576.8493094448618,357.3057446787141,17474
CO,SAN CRISTOBAL,2023,2023,528.0126698211175,325.1616890084186,8735
CO,SANTA FE,2020,2020,931.9389281942978,520.517868340223,8754
CO,SANTA FE,2020,2021,869.6778133787386,455.1339302451291,17477
CO,SANTA FE,2020,2022,883.8253742668371,483.77006783050695,26221
CO,SANTA FE,2020,2023,856.2659562578873,488.96778150504457,34958
CO,SANTA FE,2021,2021,855.361611914532,437.5081492234834,8723
CO,SANTA FE,2021,2022,878.4249315064596,479.1845980388691,17467
CO,SANTA FE,2021,2023,850.5439581403704,486.03103641079065,26204
CO,SANTA FE,2022,2022,900.4201339469724,514.8672000883374,8744
CO,SANTA FE,2022,2023,848.183419556243,508.1133164835921,17481
CO,SANTA FE,2023,2023,792.9878601981894,494.9542713259835,8737
CO,SUBA,2020,2020,533.5556507042254,214.07299022867704,17328
CO,SUBA,2020,2021,436.650126993438,254.72285749066677,51185
CO,SUBA,2020,2022,446.51172175798723,251.1132729402618,76955
