"Estacion","Fecha inicial","Fecha final","SO2"
"CARVAJAL - SEVILLANA","2019-12-31 22:00","2019-12-31 22:59","1.83302"
"CARVAJAL - SEVILLANA","2019-12-31 21:00","2019-12-31 21:59","1.83302"
"CARVAJAL - SEVILLANA","2019-12-31 20:00","2019-12-31 20:59","2.09488"
"CARVAJAL - SEVILLANA","2019-12-31 19:00","2019-12-31 19:59","2.35674"
"CARVAJAL - SEVILLANA","2019-12-31 18:00","2019-12-31 18:59","2.6186"
"CARVAJAL - SEVILLANA","2019-12-31 17:00","2019-12-31 17:59","3.14232"
"CARVAJAL - SEVILLANA","2019-12-31 16:00","2019-12-31 16:59","3.40418"
"CARVAJAL - SEVILLANA","2019-12-31 15:00","2019-12-31 15:59","4.45162"
"CARVAJAL - SEVILLANA","2019-12-31 14:00","2019-12-31 14:59","4.45162"
"CARVAJAL - SEVILLANA","2019-12-31 13:00","2019-12-31 13:59","3.66604"
"CARVAJAL - SEVILLANA","2019-12-31 12:00","2019-12-31 12:59","5.49906"
"CARVAJAL - SEVILLANA","2019-12-31 11:00","2019-12-31 11:59","5.76092"
"CARVAJAL - SEVILLANA","2019-12-31 10:00","2019-12-31 10:59","6.02278"
"CARVAJAL - SEVILLANA","2019-12-31 09:00","2019-12-31 09:59","10.73626"
"CARVAJAL - SEVILLANA","2019-12-31 08:00","2019-12-31 08:59","15.7116"
"CARVAJAL - SEVILLANA","2019-12-31 07:00","2019-12-31 07:59","14.4023"
"CARVAJAL - SEVILLANA","2019-12-31 06:00","2019-12-31 06:59","7.33208"
"CARVAJAL - SEVILLANA","2019-12-31 05:00","2019-12-31 05:59","5.2372"
"CARVAJAL - SEVILLANA","2019-12-31 04:00","2019-12-31 04:59","3.66604"
"CARVAJAL - SEVILLANA","2019-12-31 03:00","2019-12-31 03:59","2.35674"
"CARVAJAL - SEVILLANA","2019-12-31 02:00","2019-12-31 02:59","2.09488"
"CARVAJAL - SEVILLANA","2019-12-31 01:00","2019-12-31 01:59","1.83302"
"CARVAJAL - SEVILLANA","2019-12-31 00:00","2019-12-31 00:59","3.14232"
"CARVAJAL - SEVILLANA","2019-12-30 23:00","2019-12-30 23:59","3.40418"
"CARVAJAL - SEVILLANA","2019-12-30 22:00","2019-12-30 22:59","2.88046"
"CARVAJAL - SEVILLANA","2019-12-30 21:00","2019-12-30 21:59","3.14232"
"CARVAJAL - SEVILLANA","2019-12-30 20:00","2019-12-30 20:59","2.6186"
"CARVAJAL - SEVILLANA","2019-12-30 19:00","2019-12-30 19:59","2.88046"
"CARVAJAL - SEVILLANA","2019-12-30 18:00","2019-12-30 18:59","2.88046"
"CARVAJAL - SEVILLANA","2019-12-30 17:00","2019-12-30 17:59","6.5465"
"CARVAJAL - SEVILLANA","2019-12-30 16:00","2019-12-30 16:59","7.8558"
"CARVAJAL - SEVILLANA","2019-12-30 15:00","2019-12-30 15:59","8.11766"
"CARVAJAL - SEVILLANA","2019-12-30 14:00","2019-12-30 14:59","9.68882"
"CARVAJAL - SEVILLANA","2019-12-30 13:00","2019-12-30 13:59","8.11766"
"CARVAJAL - SEVILLANA","2019-12-30 12:00","2019-12-30 12:59","5.49906"
"CARVAJAL - SEVILLANA","2019-12-30 11:00","2019-12-30 11:59","7.33208"
"CARVAJAL - SEVILLANA","2019-12-30 10:00","2019-12-30 10:59","15.7116"
"CARVAJAL - SEVILLANA","2019-12-30 09:00","2019-12-30 09:59","13.093"
"CARVAJAL - SEVILLANA","2019-12-30 08:00","2019-12-30 08:59","9.1651"
"CARVAJAL - SEVILLANA","2019-12-30 07:00","2019-12-30 07:59","10.4744"
"CARVAJAL - SEVILLANA","2019-12-30 06:00","2019-12-30 06:59","7.59394"
"CARVAJAL - SEVILLANA","2019-12-30 05:00","2019-12-30 05:59","8.90324"
"CARVAJAL - SEVILLANA","2019-12-30 04:00","2019-12-30 04:59","9.68882"
"CARVAJAL - SEVILLANA","2019-12-30 03:00","2019-12-30 03:59","9.95068"
"CARVAJAL - SEVILLANA","2019-12-30 02:00","2019-12-30 02:59","12.56928"
"CARVAJAL - SEVILLANA","2019-12-30 01:00","2019-12-30 01:59","14.14044"
"CARVAJAL - SEVILLANA","2019-12-30 00:00","2019-12-30 00:59","50.80084"
