Contaminante;Sintoma;Correlacion;Localidad;Año
CO;Casos de sibilancia último año;5.692158840888335e-17;ANTONIO NARINO;2020
PM10;Casos de sibilancia último año;6.102469006945443e-18;ANTONIO NARINO;2020
NO2;Casos de sibilancia último año;1.9828913722707636e-16;ANTONIO NARINO;2020
O3;Casos de sibilancia último año;6.38732456276366e-17;ANTONIO NARINO;2020
CO;Casos de sibilancia último año;7.083846493532874e-16;BARRIOS UNIDOS;2020
PM10;Casos de sibilancia último año;-4.285827562558305e-16;BARRIOS UNIDOS;2020
NO2;Casos de sibilancia último año;5.59332647758551e-16;BARRIOS UNIDOS;2020
O3;Casos de sibilancia último año;-4.759358905427886e-16;BARRIOS UNIDOS;2020
CO;Casos de sibilancia último año;-1.7908997111592133e-16;BOSA;2020
PM10;Casos de sibilancia último año;-7.577348721339701e-17;BOSA;2020
NO2;Casos de sibilancia último año;-3.8698462786323557e-16;BOSA;2020
O3;Casos de sibilancia último año;-2.7577612049456694e-18;BOSA;2020
CO;Casos de sibilancia último año;-7.437165833069919e-17;CANDELARIA;2020
PM10;Casos de sibilancia último año;1.4733449451661803e-16;CANDELARIA;2020
NO2;Casos de sibilancia último año;5.68431455214318e-17;CANDELARIA;2020
O3;Casos de sibilancia último año;-4.650516080244575e-17;CANDELARIA;2020
CO;Casos de sibilancia último año;3.7303310478060225e-16;CHAPINERO;2020
PM10;Casos de sibilancia último año;2.555719976166487e-16;CHAPINERO;2020
NO2;Casos de sibilancia último año;2.130993725890864e-16;CHAPINERO;2020
O3;Casos de sibilancia último año;1.2715272161725383e-16;CHAPINERO;2020
CO;Casos de sibilancia último año;-1.809607858020425e-16;CIUDAD BOLIVAR;2020
PM10;Casos de sibilancia último año;-1.0274857529144727e-16;CIUDAD BOLIVAR;2020
NO2;Casos de sibilancia último año;-2.7359226530778854e-16;CIUDAD BOLIVAR;2020
O3;Casos de sibilancia último año;-2.882575558476522e-17;CIUDAD BOLIVAR;2020
CO;Casos de sibilancia último año;2.3656169111487684e-16;ENGATIVA;2020
PM10;Casos de sibilancia último año;1.5687961113506161e-15;ENGATIVA;2020
NO2;Casos de sibilancia último año;1.2056894799790318e-15;ENGATIVA;2020
O3;Casos de sibilancia último año;-3.6425814523503614e-16;ENGATIVA;2020
CO;Casos de sibilancia último año;1.7897251679396323e-15;KENNEDY;2020
PM10;Casos de sibilancia último año;7.143175494860966e-16;KENNEDY;2020
NO2;Casos de sibilancia último año;6.8434285243831e-16;KENNEDY;2020
O3;Casos de sibilancia último año;-3.26234991566146e-17;KENNEDY;2020
CO;Casos de sibilancia último año;-5.784281730587248e-16;PUENTE ARANDA;2020
PM10;Casos de sibilancia último año;-2.6660852885640967e-16;PUENTE ARANDA;2020
NO2;Casos de sibilancia último año;-5.053962974102619e-16;PUENTE ARANDA;2020
O3;Casos de sibilancia último año;-1.9541524648802687e-16;PUENTE ARANDA;2020
CO;Casos de sibilancia último año;;SAN CRISTOBAL;2020
PM10;Casos de sibilancia último año;7.368051682782386e-17;SAN CRISTOBAL;2020
NO2;Casos de sibilancia último año;-1.3957930094730157e-16;SAN CRISTOBAL;2020
O3;Casos de sibilancia último año;4.427601073478327e-17;SAN CRISTOBAL;2020
CO;Casos de sibilancia último año;7.926498040999191e-17;SANTA FE;2020
PM10;Casos de sibilancia último año;-6.585054165704088e-17;SANTA FE;2020
NO2;Casos de sibilancia último año;;SANTA FE;2020
O3;Casos de sibilancia último año;1.384051433817447e-16;SANTA FE;2020
CO;Casos de sibilancia último año;6.323833151450666e-17;SUBA;2020
PM10;Casos de sibilancia último año;-1.435983289623429e-15;SUBA;2020
NO2;Casos de sibilancia último año;-3.209513363411391e-16;SUBA;2020
O3;Casos de sibilancia último año;-3.7446368071280397e-16;SUBA;2020
CO;Casos de sibilancia último año;-6.80862730258578e-17;TEUSAQUILLO;2020
PM10;Casos de sibilancia último año;-2.226900897381481e-16;TEUSAQUILLO;2020
NO2;Casos de sibilancia último año;4.491037695354702e-16;TEUSAQUILLO;2020
O3;Casos de sibilancia último año;-6.858144086768335e-16;TEUSAQUILLO;2020
CO;Casos de sibilancia último año;-1.734234397822047e-15;USAQUEN;2020
PM10;Casos de sibilancia último año;-1.945836108696327e-15;USAQUEN;2020
NO2;Casos de sibilancia último año;-2.0019259674288723e-16;USAQUEN;2020
O3;Casos de sibilancia último año;-9.445546509074639e-16;USAQUEN;2020
CO;Casos de sibilancia último año;2.7013377499235764e-16;USME;2020
PM10;Casos de sibilancia último año;1.2576008319854365e-15;USME;2020
NO2;Casos de sibilancia último año;8.298172469567741e-16;USME;2020
O3;Casos de sibilancia último año;-1.5086661316972897e-16;USME;2020
CO;Casos de sibilancia último año;3.7074310942891097e-16;ANTONIO NARINO;2021
PM10;Casos de sibilancia último año;6.080095128973304e-16;ANTONIO NARINO;2021
NO2;Casos de sibilancia último año;3.1882017788500863e-16;ANTONIO NARINO;2021
O3;Casos de sibilancia último año;6.411048905242671e-17;ANTONIO NARINO;2021
CO;Casos de sibilancia último año;6.593741701431727e-17;BARRIOS UNIDOS;2021
