Estacion,Localidad,Fecha,Año,Concentracion
Carvajal - Sevillana,Kennedy,2020-01-01 00:00:00,2020,24
Carvajal - Sevillana,Kennedy,2020-01-01 01:00:00,2020,27
Carvajal - Sevillana,Kennedy,2020-01-01 02:00:00,2020,27
Carvajal - Sevillana,Kennedy,2020-01-01 03:00:00,2020,49
Carvajal - Sevillana,Kennedy,2020-01-01 04:00:00,2020,78
Carvajal - Sevillana,Kennedy,2020-01-01 05:00:00,2020,78
Carvajal - Sevillana,Kennedy,2020-01-01 06:00:00,2020,73
Carvajal - Sevillana,Kennedy,2020-01-01 07:00:00,2020,65
Carvajal - Sevillana,Kennedy,2020-01-01 08:00:00,2020,67
Carvajal - Sevillana,Kennedy,2020-01-01 09:00:00,2020,57
Carvajal - Sevillana,Kennedy,2020-01-01 10:00:00,2020,47
Carvajal - Sevillana,Kennedy,2020-01-01 11:00:00,2020,37
Carvajal - Sevillana,Kennedy,2020-01-01 12:00:00,2020,26
Carvajal - Sevillana,Kennedy,2020-01-01 13:00:00,2020,31
Carvajal - Sevillana,Kennedy,2020-01-01 14:00:00,2020,24
Carvajal - Sevillana,Kennedy,2020-01-01 15:00:00,2020,29
Carvajal - Sevillana,Kennedy,2020-01-01 16:00:00,2020,25
Carvajal - Sevillana,Kennedy,2020-01-01 17:00:00,2020,25
Carvajal - Sevillana,Kennedy,2020-01-01 18:00:00,2020,21
Carvajal - Sevillana,Kennedy,2020-01-01 19:00:00,2020,23
Carvajal - Sevillana,Kennedy,2020-01-01 20:00:00,2020,22
Carvajal - Sevillana,Kennedy,2020-01-01 21:00:00,2020,25
Carvajal - Sevillana,Kennedy,2020-01-01 22:00:00,2020,17
Carvajal - Sevillana,Kennedy,2020-01-01 23:00:00,2020,19
Carvajal - Sevillana,Kennedy,2020-01-02 00:00:00,2020,14
Carvajal - Sevillana,Kennedy,2020-01-02 01:00:00,2020,17
Carvajal - Sevillana,Kennedy,2020-01-02 02:00:00,2020,19
Carvajal - Sevillana,Kennedy,2020-01-02 03:00:00,2020,21
Carvajal - Sevillana,Kennedy,2020-01-02 04:00:00,2020,22
Carvajal - Sevillana,Kennedy,2020-01-02 05:00:00,2020,20
Carvajal - Sevillana,Kennedy,2020-01-02 06:00:00,2020,26
Carvajal - Sevillana,Kennedy,2020-01-02 07:00:00,2020,33
