;Estacion;Anio;Mes;Hora;Localidad;mean_CO_granular;mean_NO2_granular;mean_O3_granular;mean_PM10_granular;mean_PM25_granular;mean_SO2_granular;mean_CO_local;mean_NO2_local;mean_O3_local;mean_PM10_local;mean_PM25_local;mean_SO2_local
0;BOGOTA RURAL - MOCHUELO;2022;1;0;FONTIBÓN;;;;;32.2258;25.8368;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
1;BOGOTA RURAL - MOCHUELO;2022;1;1;FONTIBÓN;;;;;30.7097;23.2497;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
2;BOGOTA RURAL - MOCHUELO;2022;1;2;FONTIBÓN;;;;;31.0323;23.6116;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
3;BOGOTA RURAL - MOCHUELO;2022;1;3;FONTIBÓN;;;;;32.9355;22.8635;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
4;BOGOTA RURAL - MOCHUELO;2022;1;4;FONTIBÓN;;;;;29.9677;19.8842;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
5;BOGOTA RURAL - MOCHUELO;2022;1;5;FONTIBÓN;;;;;35.0645;22.509;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
6;BOGOTA RURAL - MOCHUELO;2022;1;6;FONTIBÓN;;;;;39.0968;26.0419;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
7;BOGOTA RURAL - MOCHUELO;2022;1;7;FONTIBÓN;;;;;44.9;27.6761;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
8;BOGOTA RURAL - MOCHUELO;2022;1;8;FONTIBÓN;;;;;44.5938;31.4729;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
9;BOGOTA RURAL - MOCHUELO;2022;1;9;FONTIBÓN;;;;;30.871;25.2535;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
10;BOGOTA RURAL - MOCHUELO;2022;1;10;FONTIBÓN;;;;;25.1935;23.9242;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
11;BOGOTA RURAL - MOCHUELO;2022;1;11;FONTIBÓN;;;;;26.871;22.4265;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
12;BOGOTA RURAL - MOCHUELO;2022;1;12;FONTIBÓN;;;;;27.6774;23.8645;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
13;BOGOTA RURAL - MOCHUELO;2022;1;13;FONTIBÓN;;;;;28.4;31.4197;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
14;BOGOTA RURAL - MOCHUELO;2022;1;14;FONTIBÓN;;;;;28.4516;31.5168;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
15;BOGOTA RURAL - MOCHUELO;2022;1;15;FONTIBÓN;;;;;27.5161;35.5687;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
16;BOGOTA RURAL - MOCHUELO;2022;1;16;FONTIBÓN;;;;;28.4516;38.77;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
17;BOGOTA RURAL - MOCHUELO;2022;1;17;FONTIBÓN;;;;;29.0645;39.9477;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
18;BOGOTA RURAL - MOCHUELO;2022;1;18;FONTIBÓN;;;;;31.4194;37.1668;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
19;BOGOTA RURAL - MOCHUELO;2022;1;19;FONTIBÓN;;;;;30.8387;39.4577;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
20;BOGOTA RURAL - MOCHUELO;2022;1;20;FONTIBÓN;;;;;30.0645;33.0842;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
21;BOGOTA RURAL - MOCHUELO;2022;1;21;FONTIBÓN;;;;;31.6452;30.3671;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
22;BOGOTA RURAL - MOCHUELO;2022;1;22;FONTIBÓN;;;;;31.9032;26.2565;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
23;BOGOTA RURAL - MOCHUELO;2022;1;23;FONTIBÓN;;;;;32.1935;26.8577;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
24;BOGOTA RURAL - MOCHUELO;2022;2;0;FONTIBÓN;;;;;46.5357;23.9557;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
